Team,Name,Number
Team=Netherlands,GEERTRUIDA,2
Team=Netherlands,KLUIVERT,7
Team=Netherlands,KOOPMEINERS,20
Team=Netherlands,LANG,17
Team=Netherlands,MALEN,18
Team=Netherlands,MEMPHIS,10
Team=Netherlands,Q. TIMBER,26
Team=Netherlands,REIJNDERS,14
Team=Netherlands,ROEFS,13
Team=Netherlands,SUMMERVILLE,24
Team=Netherlands,TIL,16
Team=Netherlands,VAN DE VEN,15
Team=Netherlands,VAN HECKE,6
Team=Netherlands,VERBRUGGEN,1
Team=Netherlands,VIRGIL,4
Team=Netherlands,WEGHORST,9
Team=Netherlands,WIEFFER,12
Team=New Zealand,BARBAROUSES,17
Team=New Zealand,BAYLISS,25
Team=New Zealand,BELL,6
Team=New Zealand,BINDON,4
Team=New Zealand,BOXALL,5
Team=New Zealand,CACACE,13
Team=New Zealand,CROCOMBE,1
Team=New Zealand,DE VRIES,3
Team=New Zealand,ELLIOT,24
Team=New Zealand,ROGERSON,7
Team=New Zealand,JUST,11
Team=New Zealand,MCCOWATT,20
Team=New Zealand,OLD,19
Team=New Zealand,PAULSEN,12
Team=New Zealand,PAYNE,2
Team=New Zealand,PIJNAKER,15
Team=New Zealand,RANDALL,21
Team=New Zealand,RUFER,14
Team=New Zealand,SINGH,10
Team=New Zealand,SMITH,26
Team=New Zealand,STAMENIC,8
Team=New Zealand,SURMAN,16
Team=New Zealand,THOMAS,23
Team=New Zealand,WAINE,18
Team=New Zealand,WOOD,9
Team=New Zealand,WOUD,22
Team=Norway,AASGAARD,19
Team=Norway,AURSNES,14
Team=Norway,BERG,6
Team=Norway,BERGE,8
Team=Norway,BJØRKAN,15
Team=Norway,BOBB,22
Team=Norway,BRAUT HAALAND,9
Team=Norway,FALCHENER,25
Team=Norway,HAUGE,23
Team=Norway,HEGGEM,17
Team=Norway,HOLMGREN,16
Team=Norway,LANGÅS,24
Team=Norway,MØLLER WOLFE,5
Team=Norway,NUSA,20
Team=Norway,NYLAND,1
